PROV_ID,YEAR,WEEK,EVA71,CVA16,OTHER
13,2011,25,884,605,535
13,2011,26,955,654,578
13,2011,27,936,641,566
13,2011,28,820,489,308
13,2011,29,728,434,274
13,2011,30,693,413,261
13,2011,31,645,384,242
13,2011,32,527,367,113
13,2011,33,451,314,97
13,2011,34,396,276,85
13,2011,35,346,241,74
13,2011,36,353,333,92
13,2011,37,313,295,82
13,2011,38,387,366,101
13,2011,39,300,283,78
13,2011,40,335,271,63
13,2011,41,263,213,49
13,2011,42,342,276,64
13,2011,43,408,329,76
13,2011,44,283,383,85
13,2011,45,343,464,103
13,2011,46,329,445,99
13,2011,47,275,372,83
13,2011,48,207,299,68
13,2011,49,148,214,49
13,2011,50,109,158,36
13,2011,51,96,139,31
13,2011,52,68,68,17
13,2012,1,64,64,16
13,2012,2,43,43,11
13,2012,3,20,20,5
13,2012,4,20,22,4
13,2012,5,28,30,6
13,2012,6,26,28,6
13,2012,7,23,24,5
13,2012,8,29,27,6
13,2012,9,31,29,6
13,2012,10,36,34,7
13,2012,11,47,44,9
13,2012,12,56,87,19
13,2012,13,78,120,26
13,2012,14,127,197,43
13,2012,15,200,311,68
13,2012,16,413,576,143
13,2012,17,583,814,202
13,2012,18,923,1289,320
13,2012,19,1177,1643,408
13,2012,20,1479,1928,714
13,2012,21,1382,1801,668
13,2012,22,1318,1718,637
13,2012,23,1180,1537,570
13,2012,24,963,1194,645
13,2012,25,845,1048,566
13,2012,26,857,1063,574
13,2012,27,766,950,513
13,2012,28,751,715,444
13,2012,29,566,539,334
13,2012,30,421,401,249
13,2012,31,334,319,198
13,2012,32,259,253,118
13,2012,33,202,197,92
13,2012,34,154,150,70
13,2012,35,119,116,54
13,2012,36,137,100,32
13,2012,37,138,100,33
13,2012,38,139,101,33
13,2012,39,125,91,30
13,2012,40,177,108,68
13,2012,41,131,80,50
13,2012,42,139,85,54
13,2012,43,162,100,63
13,2012,44,156,102,52
13,2012,45,158,103,53
13,2012,46,155,102,52
13,2012,47,144,94,48
13,2012,48,108,104,65
13,2012,49,93,90,56
13,2012,50,56,54,34
13,2012,51,44,42,26
13,2012,52,33,31,20
13,2013,1,13,15,2
13,2013,2,8,9,1
13,2013,3,6,7,1
13,2013,4,4,5,1
13,2013,5,6,4,1
13,2013,6,4,3,1
13,2013,7,7,5,2
13,2013,8,10,7,2
13,2013,9,6,4,8
13,2013,10,9,7,13
13,2013,11,14,10,19
13,2013,12,24,18,33
13,2013,13,53,35,78
13,2013,14,94,62,139
13,2013,15,147,97,217
13,2013,16,214,141,315
13,2013,17,227,102,472
13,2013,18,317,142,659
13,2013,19,395,178,823
13,2013,20,458,206,953
13,2013,21,683,287,1094
13,2013,22,795,334,1273
13,2013,23,774,326,1240
13,2013,24,933,392,1494
13,2013,25,781,339,1178
13,2013,26,768,333,1158
13,2013,27,836,363,1261
13,2013,28,630,273,951
13,2013,29,422,305,684
13,2013,30,320,232,519
13,2013,31,263,190,426
13,2013,32,214,155,348
13,2013,33,183,121,266
13,2013,34,142,94,207
13,2013,35,106,70,155
13,2013,36,80,53,117
13,2013,37,70,96,107
13,2013,38,72,99,110
13,2013,39,76,104,116
13,2013,40,74,101,113
13,2013,41,79,90,81
13,2013,42,74,84,75
13,2013,43,82,93,83
13,2013,44,87,99,89
13,2013,45,69,97,103
13,2013,46,86,122,129
13,2013,47,76,108,114
13,2013,48,62,87,93
13,2013,49,59,62,44
13,2013,50,58,61,44
13,2013,51,43,45,32
13,2013,52,38,41,29
13,2013,53,8,9,6
14,2009,1,3,5,0
14,2009,2,2,3,0
14,2009,3,3,4,0
14,2009,4,0,1,0
14,2009,5,3,0,0
14,2009,6,6,0,0
14,2009,7,14,0,0
14,2009,8,11,0,0
14,2009,9,4,6,0
14,2009,10,7,10,1
14,2009,11,9,13,1
14,2009,12,22,32,3
14,2009,13,81,65,28
14,2009,14,153,122,52
14,2009,15,181,145,62
14,2009,16,255,204,87
14,2009,17,484,389,104
14,2009,18,467,375,100
14,2009,19,400,322,86
14,2009,20,503,405,108
14,2009,21,645,576,152
14,2009,22,732,654,172
14,2009,23,714,638,168
14,2009,24,803,718,189
14,2009,25,625,544,277
14,2009,26,523,455,231
14,2009,27,434,378,192
14,2009,28,338,294,150
14,2009,29,321,242,83
14,2009,30,327,247,84
14,2009,31,292,220,75
14,2009,32,241,181,62
14,2009,33,152,203,65
14,2009,34,107,142,46
14,2009,35,96,128,41
14,2009,36,104,139,45
14,2009,37,116,183,46
14,2009,38,139,219,55
14,2009,39,160,251,63
14,2009,40,133,210,52
14,2009,41,192,148,43
14,2009,42,153,118,34
14,2009,43,159,123,36
14,2009,44,134,104,30
14,2009,45,62,145,62
14,2009,46,31,72,31
14,2009,47,21,49,21
14,2009,48,11,25,11
14,2009,49,9,31,5
14,2009,50,6,22,3
14,2009,51,5,18,3
14,2009,52,8,26,4
14,2009,53,4,6,1
14,2010,1,4,5,1
14,2010,2,2,3,1
14,2010,3,1,1,0
14,2010,4,0,1,0
14,2010,5,0,1,0
14,2010,6,0,0,0
14,2010,7,1,1,1
14,2010,8,2,3,0
14,2010,9,5,6,1
14,2010,10,7,8,1
14,2010,11,6,8,1
14,2010,12,15,32,15
14,2010,13,23,50,23
14,2010,14,31,66,31
14,2010,15,74,160,74
14,2010,16,90,95,36
14,2010,17,121,128,48
14,2010,18,128,136,51
14,2010,19,165,175,66
14,2010,20,243,197,141
14,2010,21,278,224,161
14,2010,22,318,257,184
14,2010,23,334,270,193
14,2010,24,311,174,180
14,2010,25,294,164,170
14,2010,26,266,149,154
14,2010,27,230,129,133
14,2010,28,148,91,100
14,2010,29,139,85,93
14,2010,30,109,67,74
14,2010,31,85,52,57
14,2010,32,54,43,31
14,2010,33,50,40,29
14,2010,34,36,29,21
14,2010,35,39,31,22
14,2010,36,46,51,27
14,2010,37,71,80,42
14,2010,38,84,95,50
14,2010,39,83,94,50
14,2010,40,99,78,43
14,2010,41,75,59,32
14,2010,42,96,76,41
14,2010,43,141,112,61
14,2010,44,172,125,80
14,2010,45,169,123,78
14,2010,46,146,106,68
14,2010,47,111,81,51
14,2010,48,99,34,31
14,2010,49,67,23,21
14,2010,50,38,13,12
14,2010,51,30,10,9
14,2010,52,11,18,10
14,2011,1,8,13,7
14,2011,2,3,5,2
14,2011,3,4,6,3
14,2011,4,4,0,1
14,2011,5,2,0,0
14,2011,6,1,0,0
14,2011,7,4,0,1
14,2011,8,2,1,0
14,2011,9,4,3,1
14,2011,10,4,3,1
14,2011,11,7,5,2
14,2011,12,14,6,7
14,2011,13,13,6,7
14,2011,14,25,11,13
14,2011,15,38,16,20
14,2011,16,79,44,26
14,2011,17,93,52,30
14,2011,18,133,74,43
14,2011,19,178,100,58
14,2011,20,275,170,96
14,2011,21,399,247,140
14,2011,22,507,314,177
14,2011,23,609,378,213
14,2011,24,588,403,356
14,2011,25,557,381,337
14,2011,26,523,358,316
14,2011,27,430,294,260
14,2011,28,358,213,135
14,2011,29,290,173,109
14,2011,30,232,138,87
14,2011,31,200,119,75
14,2011,32,176,122,38
14,2011,33,130,91,28
14,2011,34,113,79,24
14,2011,35,97,67,21
14,2011,36,92,87,24
14,2011,37,121,114,32
14,2011,38,154,145,40
14,2011,39,148,139,39
14,2011,40,131,106,24
14,2011,41,106,86,20
14,2011,42,159,129,30
14,2011,43,155,125,29
14,2011,44,100,136,30
14,2011,45,128,173,39
14,2011,46,116,157,35
14,2011,47,102,137,31
14,2011,48,62,90,20
14,2011,49,54,78,18
14,2011,50,44,63,14
14,2011,51,29,42,10
14,2011,52,24,24,6
14,2012,1,23,23,6
14,2012,2,15,15,4
14,2012,3,5,5,1
14,2012,4,4,4,1
14,2012,5,7,8,2
14,2012,6,6,6,1
14,2012,7,6,6,1
14,2012,8,6,6,1
14,2012,9,7,6,1
14,2012,10,7,7,1
14,2012,11,8,8,2
14,2012,12,11,18,4
14,2012,13,12,19,4
14,2012,14,16,25,5
14,2012,15,29,45,10
14,2012,16,65,90,22
14,2012,17,83,115,29
14,2012,18,143,200,50
14,2012,19,215,300,74
14,2012,20,333,433,161
14,2012,21,449,585,217
14,2012,22,530,691,256
14,2012,23,594,774,287
14,2012,24,563,698,377
14,2012,25,506,628,339
14,2012,26,467,579,313
14,2012,27,419,520,281
14,2012,28,361,344,213
14,2012,29,276,263,163
14,2012,30,204,195,121
14,2012,31,175,167,103
14,2012,32,150,146,68
14,2012,33,102,100,47
14,2012,34,69,67,31
14,2012,35,53,51,24
14,2012,36,50,37,12
14,2012,37,65,47,15
14,2012,38,80,58,19
14,2012,39,82,60,19
14,2012,40,94,58,36
14,2012,41,85,52,33
14,2012,42,100,61,39
14,2012,43,120,74,46
14,2012,44,107,70,36
14,2012,45,115,76,38
14,2012,46,98,64,33
14,2012,47,72,47,24
14,2012,48,51,49,31
14,2012,49,43,42,26
14,2012,50,27,26,16
14,2012,51,11,11,7
14,2012,52,12,11,7
14,2013,1,5,6,1
14,2013,2,5,6,1
14,2013,3,4,5,1
14,2013,4,3,3,0
14,2013,5,3,2,1
14,2013,6,2,2,1
14,2013,7,1,1,0
14,2013,8,5,4,1
14,2013,9,3,2,4
14,2013,10,5,4,7
14,2013,11,6,5,9
14,2013,12,11,8,16
14,2013,13,22,14,32
14,2013,14,37,24,54
14,2013,15,58,38,86
14,2013,16,66,44,98
14,2013,17,116,52,241
14,2013,18,148,67,308
14,2013,19,177,79,367
14,2013,20,242,109,504
14,2013,21,339,143,544
14,2013,22,403,169,646
14,2013,23,424,178,680
14,2013,24,397,167,635
14,2013,25,341,148,514
14,2013,26,326,141,492
14,2013,27,299,130,451
14,2013,28,212,92,319
14,2013,29,167,121,271
14,2013,30,120,87,194
14,2013,31,113,82,183
14,2013,32,87,63,141
14,2013,33,68,45,98
14,2013,34,49,32,72
14,2013,35,38,25,55
14,2013,36,28,18,41
14,2013,37,24,33,36
14,2013,38,22,31,34
14,2013,39,22,30,34
14,2013,40,21,29,32
14,2013,41,24,27,24
14,2013,42,28,32,29
14,2013,43,23,27,24
14,2013,44,35,40,36
14,2013,45,32,46,48
14,2013,46,31,44,47
14,2013,47,29,41,43
14,2013,48,22,31,33
14,2013,49,25,26,19
14,2013,50,24,26,18
14,2013,51,23,25,18
14,2013,52,13,14,10
14,2013,53,5,5,4
15,2009,1,5,7,0
15,2009,2,2,3,0
15,2009,3,1,1,0
15,2009,4,0,1,0
15,2009,5,0,0,0
15,2009,6,8,0,0
15,2009,7,11,0,0
15,2009,8,6,0,0
15,2009,9,2,3,0
15,2009,10,4,6,0
15,2009,11,5,7,1
15,2009,12,7,10,1
15,2009,13,20,16,7
15,2009,14,49,39,17
